Liverpool,Norwich,4,1,7,5,0,0
West Ham,Man City,0,5,3,9,0,0
Bournemouth,Sheffield United,1,1,3,3,0,0
Burnley,Southampton,3,0,4,3,0,0
Crystal Palace,Everton,0,0,2,3,0,1
Watford,Brighton,0,3,3,3,0,0
Tottenham,Aston Villa,3,1,7,4,0,0
Leicester,Wolves,0,0,1,2,0,0
Newcastle,Arsenal,0,1,2,2,0,0
Man United,Chelsea,4,0,5,7,0,0
Arsenal,Burnley,2,1,9,5,0,0
Aston Villa,Bournemouth,1,2,7,4,0,0
Brighton,West Ham,1,1,4,3,0,0
Everton,Watford,1,0,2,2,0,0
Norwich,Newcastle,3,1,8,3,0,0
Southampton,Liverpool,1,2,3,6,0,0
Man City,Tottenham,2,2,10,2,0,0
Sheffield United,Crystal Palace,1,0,3,4,0,0
Chelsea,Leicester,1,1,5,3,0,0
Wolves,Man United,1,1,2,2,0,0
Aston Villa,Everton,2,0,3,1,0,0
Norwich,Chelsea,2,3,5,8,0,0
Brighton,Southampton,0,2,3,4,1,0
Man United,Crystal Palace,1,2,3,3,0,0
Sheffield United,Leicester,1,2,3,2,0,0
Watford,West Ham,1,3,3,10,0,0
Liverpool,Arsenal,3,1,5,3,0,0
Bournemouth,Man City,1,3,7,5,0,0
Tottenham,Newcastle,0,1,2,3,0,0
Wolves,Burnley,1,1,2,4,0,0
Southampton,Man United,1,1,2,8,1,0
Chelsea,Sheffield United,2,2,5,2,0,0
Crystal Palace,Aston Villa,1,0,5,2,0,1
Leicester,Bournemouth,3,1,5,2,0,0
Man City,Brighton,4,0,6,2,0,0
Newcastle,Watford,1,1,5,3,0,0
West Ham,Norwich,2,0,8,3,0,0
Burnley,Liverpool,0,3,2,7,0,0
Everton,Wolves,3,2,6,5,0,1
Arsenal,Tottenham,2,2,8,9,0,0
Liverpool,Newcastle,3,1,9,1,0,0
Brighton,Burnley,1,1,5,1,0,0
Man United,Leicester,1,0,5,3,0,0
Sheffield United,Southampton,0,1,4,7,1,0
Tottenham,Crystal Palace,4,0,5,6,0,0
Wolves,Chelsea,2,5,4,6,0,0
Norwich,Man City,3,2,3,8,0,0
