1,Liverpool, played=38, won=32, drew=5, lost=1, goalsFired=79, goalsAcquired=25, goalDifference=54, points=101
2,Man City, played=38, won=26, drew=5, lost=7, goalsFired=88, goalsAcquired=34, goalDifference=54, points=83
3,Chelsea, played=38, won=20, drew=9, lost=9, goalsFired=63, goalsAcquired=42, goalDifference=21, points=69
4,Tottenham, played=38, won=20, drew=8, lost=10, goalsFired=60, goalsAcquired=42, goalDifference=18, points=68
5,Man United, played=38, won=19, drew=10, lost=9, goalsFired=54, goalsAcquired=32, goalDifference=22, points=67
6,Leicester, played=38, won=17, drew=11, lost=10, goalsFired=65, goalsAcquired=36, goalDifference=29, points=62
7,Sheffield United, played=38, won=15, drew=13, lost=10, goalsFired=34, goalsAcquired=28, goalDifference=6, points=58
8,Arsenal, played=38, won=13, drew=17, lost=8, goalsFired=54, goalsAcquired=45, goalDifference=9, points=56
9,Wolves, played=38, won=12, drew=19, lost=7, goalsFired=48, goalsAcquired=40, goalDifference=8, points=55
10,Everton, played=38, won=12, drew=12, lost=14, goalsFired=46, goalsAcquired=55, goalDifference=-9, points=48
11,Burnley, played=38, won=13, drew=8, lost=17, goalsFired=38, goalsAcquired=49, goalDifference=-11, points=47
12,Crystal Palace, played=38, won=11, drew=13, lost=14, goalsFired=31, goalsAcquired=41, goalDifference=-10, points=46
13,Southampton, played=38, won=11, drew=9, lost=18, goalsFired=41, goalsAcquired=61, goalDifference=-20, points=42
14,Newcastle, played=38, won=10, drew=11, lost=17, goalsFired=28, goalsAcquired=49, goalDifference=-21, points=41
15,West Ham, played=38, won=8, drew=12, lost=18, goalsFired=43, goalsAcquired=60, goalDifference=-17, points=36
16,Watford, played=38, won=8, drew=12, lost=18, goalsFired=32, goalsAcquired=54, goalDifference=-22, points=36
17,Brighton, played=38, won=7, drew=13, lost=18, goalsFired=35, goalsAcquired=49, goalDifference=-14, points=34
18,Bournemouth, played=38, won=7, drew=11, lost=20, goalsFired=36, goalsAcquired=61, goalDifference=-25, points=32
19,Norwich, played=38, won=5, drew=11, lost=22, goalsFired=30, goalsAcquired=65, goalDifference=-35, points=26
20,Aston Villa, played=38, won=7, drew=5, lost=26, goalsFired=36, goalsAcquired=73, goalDifference=-37, points=26
